epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,2693.89,1.70929,1.68704,1.84813,0.86653,0.78038,0.87006,0.56796,1.50066,1.1496,1.64802,0.00106463,0.00106463,0.00106463
75,2731.8,1.74198,1.69092,1.9174,0.86005,0.75238,0.85618,0.56179,1.44299,1.186,1.61361,0.00105638,0.00105638,0.00105638
76,2768.26,1.7282,1.62946,1.82717,0.83031,0.88121,0.87937,0.53826,1.53265,1.15488,1.69682,0.00104813,0.00104813,0.00104813
77,2804.59,1.75737,1.6921,1.84641,0.83265,0.86497,0.88626,0.58582,1.42158,1.19748,1.61873,0.00103987,0.00103987,0.00103987
78,2841.29,1.71517,1.58888,1.80407,0.72329,0.89524,0.87805,0.58202,1.38029,1.17837,1.57776,0.00103162,0.00103162,0.00103162
79,2877.76,1.72842,1.64184,1.83736,0.77809,0.82118,0.83714,0.50546,1.46821,1.17808,1.60821,0.00102337,0.00102337,0.00102337
80,2914.24,1.69678,1.5099,1.79755,0.83765,0.89286,0.89602,0.58337,1.36924,1.08384,1.55653,0.00101512,0.00101512,0.00101512
81,2950.81,1.68824,1.59772,1.80339,0.88456,0.85041,0.88464,0.55423,1.47947,1.14361,1.65477,0.00100687,0.00100687,0.00100687
82,2987.38,1.69139,1.62301,1.76909,0.8355,0.81926,0.87198,0.53348,1.54535,1.13275,1.6912,0.000998616,0.000998616,0.000998616
83,3023.89,1.64691,1.52333,1.79306,0.79667,0.85536,0.83981,0.55005,1.38837,1.08706,1.57623,0.000990365,0.000990365,0.000990365
84,3060.43,1.69589,1.57318,1.84329,0.72774,0.87178,0.82727,0.51648,1.46701,1.11995,1.65437,0.000982113,0.000982113,0.000982113
85,3096.84,1.64349,1.53365,1.78969,0.75219,0.78571,0.83866,0.46361,1.57742,1.10808,1.73118,0.000973861,0.000973861,0.000973861
86,3133.45,1.64726,1.53991,1.79237,0.77798,0.82381,0.87988,0.51285,1.50085,1.08291,1.66937,0.00096561,0.00096561,0.00096561
87,3169.76,1.65591,1.54854,1.81929,0.8395,0.91028,0.90159,0.54454,1.40674,1.07302,1.60247,0.000957358,0.000957358,0.000957358
88,3206.19,1.67577,1.5451,1.7655,0.82091,0.7793,0.83846,0.48149,1.54862,1.20827,1.73146,0.000949106,0.000949106,0.000949106
89,3242.76,1.62815,1.46616,1.74881,0.74373,0.82143,0.84033,0.51813,1.41912,1.12453,1.61716,0.000940855,0.000940855,0.000940855
90,3279.36,1.60564,1.46046,1.75557,0.83619,0.78839,0.87658,0.59092,1.29667,1.10329,1.51365,0.000932603,0.000932603,0.000932603
91,3315.68,1.62428,1.47072,1.75761,0.74685,0.82143,0.88903,0.57404,1.36343,1.05871,1.56071,0.000924352,0.000924352,0.000924352
92,3352.24,1.60331,1.43985,1.68755,0.87238,0.78571,0.86356,0.52653,1.56182,1.09493,1.6876,0.0009161,0.0009161,0.0009161
93,3388.8,1.61865,1.45903,1.73412,0.84208,0.79048,0.84439,0.5412,1.47905,1.06509,1.63316,0.000907848,0.000907848,0.000907848
94,3425.19,1.59762,1.40388,1.6671,0.83613,0.81498,0.86133,0.53756,1.45941,1.03665,1.62517,0.000899597,0.000899597,0.000899597
95,3461.57,1.60389,1.46034,1.72129,0.89822,0.85714,0.89077,0.52317,1.59116,1.03187,1.72952,0.000891345,0.000891345,0.000891345
